ts,ts.1,lox_lower_celsius,lox_upper_celsius,gn2_external_celsius,gn2_internal_celsius
1775848800324404,1607848336,-71.0625,33.75,0,-49.125
1775848805783511,1613321128,-70.6875,33.875,0,-48.625
1775848816684125,1624212733,-69.625,34.0625,0,-47.6875
1775848820012017,1627487919,-69.5,34.0625,0,-47.5
1775848822135664,1629658405,-69.4375,34.0,0,-47.4375
1775848844973610,1652499019,-68.375,33.8125,0,-46.0
1775848853774513,1661253405,-67.9375,33.625,0,-45.5
1775848871138288,1678674983,-66.8125,33.75,0,-44.0
1775848876555070,1684093384,-66.5,33.625,0,-43.75
1775848878751757,1686265408,-66.5,33.625,0,-43.8125
1775848880939161,1688450231,-66.375,33.625,0,-43.625
1775848897320732,1704801401,-65.25,33.6875,0,-42.25
1775848898359627,1705894603,-65.25,33.6875,0,-42.3125
1775848900565321,1708071935,-65.0,33.75,0,-42.125
1775848901655100,1709162393,-64.8125,33.8125,0,-41.9375
1775848905977758,1713518412,-64.5625,33.8125,0,-41.5625
1775848909299532,1716786373,-64.4375,33.875,0,-41.3125
1775848922408766,1729929744,-64.0,33.625,0,-40.8125
1775848923486245,1731026329,-63.8125,33.5625,0,-40.8125
1775848931081678,1738612289,-63.875,33.625,0,-40.5
1775848934362621,1741880397,-63.5,33.5625,0,-40.1875
1775848940961005,1748475191,-63.1875,33.625,0,-39.8125
1775848945356916,1752863851,-62.9375,33.75,0,-39.5625
1775848946443631,1753952032,-62.75,33.625,0,-39.5
1775848949729290,1757199772,-62.6875,33.625,0,-39.25
1775848952962339,1760455555,-62.6875,33.5625,0,-39.25
1775848954013365,1761539402,-62.6875,33.5625,0,-39.3125
1775848956202549,1763735840,-62.6875,33.5,0,-39.25
1775848961663924,1769185421,-62.1875,33.8125,0,-38.75
1775848968231124,1775757397,-61.8125,33.6875,0,-38.25
1775848969318840,1776835377,-61.75,33.75,0,-38.125
1775848978047073,1785571942,-61.3125,33.8125,0,-37.625
1775848992235451,1799713606,-60.625,33.9375,0,-36.5625
1775848997659169,1805153321,-60.125,33.875,0,-36.375
1775849006318415,1813836463,-60.0625,33.8125,0,-36.1875
1775849016098977,1823630483,-59.625,33.8125,0,-35.6875
1775849021582433,1829060974,-59.3125,33.9375,0,-35.4375
1775849022632930,1830145915,-59.3125,34.0,0,-35.375
1775849024813590,1832339351,-59.4375,33.875,0,-35.4375
1775849025912115,1833423219,-59.4375,33.75,0,-35.5
1775849027001731,1834530935,-59.3125,33.6875,0,-35.375
1775849029178965,1836703416,-59.3125,33.75,0,-35.3125
1775849031363090,1838892757,-59.3125,33.6875,0,-35.3125
1775849032464737,1839996344,-59.1875,33.6875,0,-35.1875
1775849041191636,1848711405,-58.8125,33.625,0,-34.8125
1775849048795115,1856331846,-58.625,33.5625,0,-34.375
1775849055375140,1862896304,-58.5,33.5,0,-34.0625
1775849068482753,1876000395,-57.8125,33.5625,0,-33.625
1775849069562684,1877100198,-57.8125,33.4375,0,-33.5625
1775849072876452,1880392053,-57.75,33.4375,0,-33.375
1775849079366543,1886902202,-57.1875,33.6875,0,-32.8125
1775849080480895,1887994402,-57.1875,33.75,0,-32.75
1775849083767369,1891262606,-56.9375,33.75,0,-32.5
1775849084877666,1892357269,-56.9375,33.875,0,-32.4375
1775849085983974,1893446295,-56.8125,33.9375,0,-32.375
1775849094659593,1902106423,-56.8125,33.5625,0,-32.5
1775849108760026,1916207255,-56.375,33.375,0,-32.0625
1775849113017533,1920547427,-56.3125,33.4375,0,-31.875
1775849114107664,1921645855,-56.3125,33.25,0,-31.875
1775849115214516,1922738097,-56.125,33.375,0,-31.875
1775849117402995,1924912817,-56.125,33.4375,0,-31.6875
1775849122819139,1930346268,-55.75,33.4375,0,-31.3125
1775849123930322,1931421399,-55.75,33.4375,0,-31.4375
1775849128260165,1935779939,-55.625,33.5,0,-31.375
1775849136968096,1944472723,-55.25,33.4375,0,-31.0
1775849141288498,1948792398,-55.0625,33.5625,0,-30.875
1775849143435713,1950964399,-55.125,33.5625,0,-30.6875
1775849144532351,1952052587,-55.0625,33.5625,0,-30.75
1775849145644859,1953132407,-55.125,33.375,0,-30.8125
1775849149946504,1957480911,-55.0625,33.3125,0,-30.75
1775849165180760,1972708547,-54.6875,33.25,0,-30.375
1775849171713313,1979230398,-54.5,33.1875,0,-30.0625
1775849173905230,1981397399,-54.3125,33.1875,0,-30.0
1775849179333280,1986822847,-54.25,33.0625,0,-29.875
1775849182612164,1990083533,-54.0,33.125,0,-29.625
1775849183716014,1991166409,-54.0,33.125,0,-29.75
1775849190126586,1997660907,-53.625,33.3125,0,-29.4375
1775849194515310,2002018857,-53.3125,33.25,0,-29.25
1775849211872240,2019410918,-52.875,33.125,0,-28.75
1775849217328990,2024812225,-52.75,33.0625,0,-28.5625
1775849220635677,2028054407,-52.875,32.9375,0,-28.625
1775849222728412,2030225931,-52.8125,32.875,0,-28.625
1775849223796955,2031323807,-52.75,32.8125,0,-28.5625
1775849230317468,2037850996,-52.5,32.8125,0,-28.1875
1775849239038078,2046568576,-52.1875,32.75,0,-28.0625
1775849240130883,2047661520,-52.3125,32.5625,0,-28.0
1775849241217750,2048747349,-52.1875,32.625,0,-28.125
1775849243388823,2050916265,-52.1875,32.5625,0,-28.0
1775849246622107,2054158858,-51.875,32.6875,0,-27.8125
1775849254242344,2061774235,-51.0625,33.125,0,-27.5625
1775849256426817,2063961385,-50.8125,33.0625,0,-27.25
1775849260781936,2068308402,-50.6875,33.0,0,-27.25
1775849266243149,2073776220,-50.25,33.0625,0,-27.0
1775849268468974,2075974934,-50.3125,32.9375,0,-26.9375
1775849276065609,2083593351,-49.9375,32.8125,0,-26.8125
1775849277175004,2084686897,-49.875,32.8125,0,-26.75
1775849278260139,2085763052,-49.75,32.75,0,-26.6875
1775849292413390,2099947765,-49.75,32.5625,0,-26.3125
1775849295732273,2103240903,-49.4375,32.75,0,-26.1875
1775849297877269,2105402258,-49.3125,32.6875,0,-26.0
1775849300033287,2107561357,-49.375,32.75,0,-26.0
1775849306555923,2114083405,-48.9375,32.75,0,-25.75
1775849309814202,2117340399,-48.9375,32.75,0,-25.625
1775849310901535,2118437424,-48.8125,32.75,0,-25.5
1775849318511364,2126049905,-48.25,32.9375,0,-25.1875
1775849320704149,2128236312,-48.5,32.875,0,-25.25
1775849333826861,2141334408,-48.0625,32.8125,0,-25.0
1775849339272426,2146803383,-47.6875,32.875,0,-24.875
1775849350219553,2157746765,-47.5625,32.875,0,-24.6875
1775849352371408,2159908913,-47.375,32.875,0,-24.6875
1775849356726626,2164266389,-47.125,32.9375,0,-24.375
1775849358916477,2166449739,-46.9375,33.0,0,-24.375
1775849364363606,2171895390,-46.8125,32.8125,0,-24.3125
1775849370912902,2178450930,-46.5,33.0,0,-23.875
1775849381803750,2189327319,-46.3125,33.0,0,-23.5625
1775849383979178,2191508950,-46.1875,32.875,0,-23.5625
1775849385085747,2192605413,-46.1875,33.0,0,-23.6875
1775849391578931,2199112557,-46.0625,32.875,0,-23.5
1775849395944257,2203486402,-45.9375,32.875,0,-23.1875
1775849399213348,2206743400,-45.75,32.875,0,-23.1875
